Unit (n),ETH Input (Cumulative),Issued Tokens,Cumulative Supply,Buy Price (ETH),Spread,Sell Price (ETH),Weight
29,2900,154391.78693390076,8734536.144148491,6.477028e-04,0.8953895071542127,6.775651e-05,2.675347089652027
30,3000,151405.31510282497,8885941.459251316,6.604788e-04,0.895230524642289,6.919802e-05,2.72152651856127
31,3100,148573.95382268855,9034515.413074005,6.730655e-04,0.8950715421303653,7.062372e-05,2.766749041634182
32,3200,145884.97109097318,9180400.384164978,6.854716e-04,0.8949125596184416,7.203445e-05,2.8110647916716003
33,3300,143327.03935999316,9323727.42352497,6.977051e-04,0.8947535771065179,7.343096e-05,2.854519770443265
34,3400,140890.04337974824,9464617.466904718,7.097734e-04,0.8945945945945942,7.481395e-05,2.897156305450766
35,3500,138564.91912724267,9603182.386031961,7.216834e-04,0.8944356120826705,7.618406e-05,2.939013444093719
36,3600,136343.51806146847,9739525.90409343,7.334415e-04,0.8942766295707468,7.754191e-05,2.9801272953783937
37,3700,134218.49213894518,9873744.396232374,7.450538e-04,0.8941176470588231,7.888805e-05,3.0205313274271965
38,3800,132183.19594705818,10005927.592179433,7.565258e-04,0.8939586645468994,8.022301e-05,3.060256627557315
39,3900,130231.60302938668,10136159.19520882,7.678628e-04,0.8937996820349757,8.154727e-05,3.0993321305080217
40,4000,128358.23403852848,10264517.429247348,7.790696e-04,0.893640699523052,8.286130e-05,3.1377848194415163
41,4100,126558.09479439181,10391075.52404174,7.901510e-04,0.8934817170111283,8.416552e-05,3.1756399035708354
42,4200,124826.62267695049,10515902.14671869,8.011112e-04,0.8933227344992046,8.546035e-05,3.212920975641508
43,4300,123159.64006264512,10639061.786781335,8.119543e-04,0.8931637519872809,8.674615e-05,3.249650151981331
44,4400,121553.31373855086,10760615.100519886,8.226843e-04,0.8930047694753572,8.802329e-05,3.2858481974118092
45,4500,120004.11941000902,10880619.219929894,8.333047e-04,0.8928457869634335,8.929211e-05,3.321534636967355
46,4600,118508.81056476278,10999128.030494656,8.438191e-04,0.8926868044515098,9.055293e-05,3.356727856080146
47,4700,117064.391076794,11116192.42157145,8.542307e-04,0.8925278219395861,9.180604e-05,3.391445190648395
48,4800,115668.09103151326,11231860.512602964,8.645427e-04,0.8923688394276624,9.305173e-05,3.425703008204839
49,4900,114317.3453349911,11346177.857937956,8.747579e-04,0.8922098569157387,9.429028e-05,3.4595167812334133
50,5000,113009.7747369082,11459187.632674864,8.848792e-04,0.892050874403815,9.552194e-05,3.492901153539639
51,5100,111743.16895250845,11570930.801627371,8.949093e-04,0.8918918918918913,9.674695e-05,3.5258700004596815
52,5200,110515.47161518002,11681446.273242552,9.048507e-04,0.8917329093799676,9.796555e-05,3.5584364835905546
53,5300,109324.76683005517,11790771.040072607,9.147058e-04,0.8915739268680439,9.917796e-05,3.590613100636605
54,5400,108169.26713156757,11898940.307204174,9.244770e-04,0.8914149443561202,1.003844e-04,3.6224117308926567
55,5500,107047.30267532672,12005987.609879501,9.341665e-04,0.8912559618441965,1.015850e-04,3.653843676820092
56,5600,105957.31151785242,12111944.921397354,9.437763e-04,0.8910969793322728,1.027801e-04,3.6849197021169307
57,5700,104897.8308573704,12216842.752254725,9.533086e-04,0.8909379968203491,1.039697e-04,3.715650066635328
58,5800,103867.48912559678,12320710.24138032,9.627652e-04,0.8907790143084254,1.051542e-04,3.74604455845868
59,5900,102864.9988347094,12423575.24021503,9.721480e-04,0.8906200317965017,1.063335e-04,3.776112523414716
60,6000,101889.15009591766,12525464.390310947,9.814588e-04,0.890461049284578,1.075080e-04,3.8058628922697983
61,6100,100938.804736521,12626403.195047468,9.906993e-04,0.8903020667726543,1.086777e-04,3.835304205822495
62,6200,100012.890951364,12726416.085998831,9.998711e-04,0.8901430842607306,1.098428e-04,3.8644446380907
63,6300,99110.39843237461,12825526.484431205,1.008976e-03,0.8899841017488069,1.110034e-04,3.8932920177657726
64,6400,98230.37392659862,12923756.858357804,1.018015e-03,0.8898251192368832,1.121597e-04,3.92185384808882
65,6500,97371.91717897507,13021128.77553678,1.026990e-03,0.8896661367249595,1.133118e-04,3.950137325288203
66,6600,96534.17722116577,13117662.952757945,1.035903e-03,0.8895071542130358,1.144598e-04,3.9781493557030463
67,6700,95716.34897216347,13213379.30173011,1.044754e-03,0.8893481717011121,1.156039e-04,4.005896571705047
68,6800,94917.67012025676,13308296.971850365,1.053545e-03,0.8891891891891884,1.167441e-04,4.033385346519682
69,6900,94137.41825929795,13402434.390109664,1.062277e-03,0.8890302066772647,1.178806e-04,4.060621808038066
70,7000,93374.90825517308,13495809.298364837,1.070952e-03,0.888871224165341,1.190135e-04,4.087611851701921
71,7100,92629.48982096784,13588438.788185805,1.079570e-03,0.8887122416534173,1.201429e-04,4.114361152536288
72,7200,91900.54528160278,13680339.333467407,1.088133e-03,0.8885532591414936,1.212689e-04,4.1408751763976275
73,7300,91187.48751072538,13771526.820978133,1.096642e-03,0.8883942766295699,1.223915e-04,4.167159190498735
74,7400,90489.75802442129,13862016.579002554,1.105097e-03,0.8882352941176462,1.235109e-04,4.193218273266283
75,7500,89806.82521788053,13951823.404220434,1.113501e-03,0.8880763116057225,1.246272e-04,4.219057323581808
76,7600,89138.18273254647,14040961.58695298,1.121854e-03,0.8879173290937988,1.257404e-04,4.244681069452459
77,7700,88483.34794251282,14129444.934895493,1.130156e-03,0.8877583465818751,1.268506e-04,4.270094076153774
78,7800,87841.86055003337,14217286.795445526,1.138409e-03,0.8875993640699514,1.279579e-04,4.29530075388313
79,7900,87213.28128098947,14304500.076726515,1.146614e-03,0.8874403815580277,1.290625e-04,4.320305364959164
80,8000,86597.19067203271,14391097.267398547,1.154772e-03,0.887281399046104,1.301643e-04,4.345112030599575
81,8100,85993.18794190157,14477090.455340449,1.162883e-03,0.8871224165341803,1.312634e-04,4.3697247373069725
82,8200,85400.88994010951,14562491.345280558,1.170948e-03,0.8869634340222566,1.323599e-04,4.394147342890017
83,8300,84819.93016682641,14647311.275447384,1.178968e-03,0.8868044515103329,1.334540e-04,4.4183835821449025
84,8400,84249.95785833757,14731561.23330572,1.186944e-03,0.8866454689984092,1.345455e-04,4.442437072220236
85,8500,83690.63713296826,14815251.87043869,1.194877e-03,0.8864864864864855,1.356347e-04,4.466311317686515
86,8600,83141.64619281553,14898393.516631505,1.202767e-03,0.8863275039745618,1.367215e-04,4.490009715329784
87,8700,82602.67657703758,14980996.193208542,1.210615e-03,0.8861685214626381,1.378060e-04,4.513535558687529
88,8800,82073.43246281943,15063069.62567136,1.218421e-03,0.8860095389507144,1.388884e-04,4.536892042343463
89,8900,81553.63001046641,15144623.255681828,1.226187e-03,0.8858505564387907,1.399686e-04,4.560082265996665
90,9000,81042.9967493777,15225666.252431205,1.233913e-03,0.885691573926867,1.410466e-04,4.583109238319314
91,9100,80541.27100192454,15306207.523433128,1.241599e-03,0.8855325914149433,1.421227e-04,4.605975880616245
92,9200,80048.2013425046,15386255.724775633,1.249247e-03,0.8853736089030196,1.431967e-04,4.628685030298592
93,9300,79563.54608926713,15465819.2708649,1.256857e-03,0.8852146263910959,1.442688e-04,4.651239444182883
94,9400,79087.07282620769,15544906.343691109,1.264429e-03,0.8850556438791722,1.453390e-04,4.673641801626152
95,9500,78618.55795351556,15623524.901644625,1.271964e-03,0.8848966613672485,1.464073e-04,4.695894707506886
96,9600,78157.78626422481,15701682.687908849,1.279463e-03,0.8847376788553248,1.474739e-04,4.718000695060936
97,9700,77704.55054537402,15779387.238454223,1.286926e-03,0.8845786963434011,1.485387e-04,4.7399622285808904
98,9800,77258.65120201868,15856645.889656242,1.294353e-03,0.8844197138314774,1.496017e-04,4.7617817059868415
99,9900,76819.89590256785,15933465.78555881,1.301746e-03,0.8842607313195537,1.506631e-04,4.783461461275915
100,10000,76388.09924403396,16009853.884802844,1.309104e-03,0.88410174880763,1.517229e-04,4.805003766857454
101,10100,75963.08243588997,16085816.967238734,1.316429e-03,0.8839427662957063,1.527811e-04,4.82641083578031
102,10200,75544.67300132697,16161361.64024006,1.323720e-03,0.8837837837837826,1.538377e-04,4.847684823858209
103,10300,75132.70449479339,16236494.344734853,1.330978e-03,0.8836248012718589,1.548929e-04,4.868827831698866
104,10400,74727.01623478028,16311221.360969633,1.338204e-03,0.8834658187599352,1.559465e-04,4.889841906642054
105,10500,74327.45305089113,16385548.814020524,1.345398e-03,0.8833068362480115,1.569987e-04,4.910729044611598
106,10600,73933.86504430491,16459482.679064829,1.352560e-03,0.8831478537360878,1.580496e-04,4.931491191885851
107,10700,73546.1073608033,16533028.786425631,1.359691e-03,0.8829888712241641,1.590990e-04,4.952130246791037
108,10800,73164.03997559306,16606192.826401224,1.366792e-03,0.8828298887122404,1.601471e-04,4.972648061321472
109,10900,72787.52748920674,16678980.35389043,1.373862e-03,0.8826709062003167,1.611940e-04,4.99304644269048
110,11000,72416.43893381601,16751396.792824246,1.380902e-03,0.882511923688393,1.622395e-04,5.013327154815593
111,11100,72050.64758933625,16823447.440413583,1.387913e-03,0.8823529411764693,1.632838e-04,5.033491919741384
112,11200,71690.03080874469,16895137.471222326,1.394894e-03,0.8821939586645456,1.643270e-04,5.053542419003085
113,11300,71334.46985207203,16966471.941074397,1.401847e-03,0.8820349761526219,1.653689e-04,5.07348029493398
114,11400,70983.84972856462,17037455.790802963,1.408771e-03,0.8818759936406982,1.664097e-04,5.093307151919364
115,11500,70638.059046547,17108093.84984951,1.415667e-03,0.8817170111287745,1.674494e-04,5.113024557599688
116,11600,70296.98987054576,17178390.839720055,1.422536e-03,0.8815580286168508,1.684880e-04,5.132634044025409
117,11700,69960.53758526407,17248351.37730532,1.429377e-03,0.8813990461049271,1.695255e-04,5.152137108765835
118,11800,69628.60076602284,17317979.978071343,1.436191e-03,0.8812400635930034,1.705620e-04,5.171535215974241
119,11900,69301.08105530935,17387281.059126653,1.442979e-03,0.8810810810810797,1.715975e-04,5.190829797411271
120,12000,68977.88304509642,17456258.94217175,1.449740e-03,0.880922098569156,1.726320e-04,5.210022253428647
121,12100,68658.91416461677,17524917.856336366,1.456475e-03,0.8807631160572323,1.736656e-04,5.229113953915021
122,12200,68344.08457329692,17593261.940909665,1.463184e-03,0.8806041335453086,1.746982e-04,5.24810623920573
123,12300,68033.30705857313,17661295.247968238,1.469868e-03,0.8804451510333849,1.757299e-04,5.267000420958132
124,12400,67726.49693832918,17729021.744906567,1.476527e-03,0.8802861685214612,1.767607e-04,5.285797782994071
125,12500,67423.57196771112,17796445.316874277,1.483161e-03,0.8801271860095375,1.777907e-04,5.304499582110985
126,12600,67124.45225008982,17863569.769124366,1.489770e-03,0.8799682034976138,1.788198e-04,5.323107048863052
127,12700,66829.06015195473,17930398.82927632,1.496355e-03,0.8798092209856901,1.798481e-04,5.3416213883137145
128,12800,66537.32022153634,17996936.149497855,1.502916e-03,0.8796502384737664,1.808756e-04,5.360043780760855
129,12900,66249.15911096586,18063185.308608823,1.509453e-03,0.8794912559618427,1.819023e-04,5.378375382435813
130,13000,65964.50550179239,18129149.814110614,1.515967e-03,0.879332273449919,1.829283e-04,5.396617326177384
131,13100,65683.29003368795,18194833.1041443,1.522457e-03,0.8791732909379953,1.839535e-04,5.414770722081902
132,13200,65405.445236181076,18260238.54938048,1.528925e-03,0.8790143084260716,1.849780e-04,5.432836658130392
133,13300,65130.90546326776,18325369.45484375,1.535369e-03,0.878855325914148,1.860018e-04,5.45081620079382
134,13400,64859.60683075878,18390229.061674505,1.541792e-03,0.8786963434022242,1.870250e-04,5.46871039561731
135,13500,64591.48715622835,18454820.548830733,1.548192e-03,0.8785373608903005,1.880474e-04,5.486520267784257
136,13600,64326.485901438384,18519147.03473217,1.554570e-03,0.8783783783783768,1.890693e-04,5.504246822661145
