Unit (n),ETH Input (Cumulative),Issued Tokens,Cumulative Supply,Buy Price (ETH),Spread,Sell Price (ETH),Weight
0,0,0.0,0.0,1.000000e-04,,nan,
1,2000,20000000.0,20000000.0,1.000000e-04,0.8967078189300411,1.032922e-05,0.0
2,4000,1170675.915746001,21170675.915746,1.708415e-03,0.8934156378600823,1.820903e-04,5.925450595803526
3,6000,1094997.0147656072,22265672.93051161,1.826489e-03,0.8901234567901234,2.006883e-04,6.24097209070158
4,8000,1031986.5039955045,23297659.434507113,1.938010e-03,0.8868312757201645,2.193221e-04,6.533349487601098
5,10000,978475.0139560174,24276134.44846313,2.043997e-03,0.8835390946502056,2.380457e-04,6.806515342689626
6,12000,932303.059195395,25208437.507658526,2.145225e-03,0.8802469135802468,2.568973e-04,7.063413320735776
7,14000,891941.2651864093,26100378.772844937,2.242300e-03,0.8769547325102879,2.759044e-04,7.306314035827512
8,16000,856271.9314215247,26956650.704266462,2.335707e-03,0.873662551440329,2.950872e-04,7.537011973661067
9,18000,824456.6336198339,27781107.337886296,2.425840e-03,0.8703703703703701,3.144608e-04,7.756954047890039
10,20000,795852.4459235428,28576959.78380984,2.513029e-03,0.8670781893004113,3.340363e-04,7.967326741414052
11,22000,769956.9828589403,29346916.76666878,2.597548e-03,0.8637860082304524,3.538223e-04,8.169117056629503
12,24000,746371.2246469513,30093287.991315734,2.679632e-03,0.8604938271604935,3.738252e-04,8.363156294953813
13,26000,724773.6985164826,30818061.689832218,2.759482e-03,0.8572016460905346,3.940495e-04,8.550152229091415
14,28000,704902.1297143439,31522963.81954656,2.837273e-03,0.8539094650205757,4.144988e-04,8.730713219009322
15,30000,686540.1346710125,32209503.954217575,2.913158e-03,0.8506172839506169,4.351755e-04,8.905366606180065
16,32000,669507.3961917786,32879011.350409355,2.987271e-03,0.847325102880658,4.560813e-04,9.074572961132196
17,34000,653652.2924757947,33532663.64288515,3.059731e-03,0.8440329218106991,4.772173e-04,9.238737271424931
18,36000,638846.2869953482,34171509.9298805,3.130644e-03,0.8407407407407402,4.985840e-04,9.39821783573767
19,38000,624979.6027378817,34796489.53261838,3.200104e-03,0.8374485596707814,5.201816e-04,9.553333413231439
20,40000,611957.8471834227,35408447.3798018,3.268199e-03,0.8341563786008225,5.420100e-04,9.704369028514064
21,42000,599699.3505627625,36008146.73036456,3.335004e-03,0.8308641975308636,5.640687e-04,9.85158072838615
22,44000,588133.0458496496,36596279.77621421,3.400591e-03,0.8275720164609047,5.863571e-04,9.99519951244857
23,46000,577196.7648510152,37173476.54106523,3.465023e-03,0.8242798353909458,6.088744e-04,10.135434606147244
24,48000,566835.8572220273,37740312.39828726,3.528358e-03,0.820987654320987,6.316197e-04,10.27247620566378
25,50000,557002.0625044196,38297314.46079168,3.590651e-03,0.8176954732510281,6.545919e-04,10.406497795027468
26,52000,547652.5821822814,38844967.04297396,3.651950e-03,0.8144032921810692,6.777899e-04,10.53765811405292
27,54000,538749.3111610535,39383716.354135014,3.712302e-03,0.8111111111111103,7.012125e-04,10.666102839206497
28,56000,530258.1972928795,39913974.55142789,3.771747e-03,0.8078189300411515,7.248585e-04,10.791966026873446
29,58000,522148.7044865576,40436123.25591445,3.830326e-03,0.8045267489711926,7.487264e-04,10.915371358739042
30,60000,514393.36017754395,40950516.616092,3.888075e-03,0.8012345679012337,7.728149e-04,11.036433221392766
31,62000,506967.37193520734,41457483.9880272,3.945027e-03,0.7979423868312748,7.971228e-04,11.155257646291195
32,64000,499848.3010677722,41957332.28909497,4.001214e-03,0.794650205761316,8.216485e-04,11.271943131487495
33,66000,493015.7834795436,42450348.07257451,4.056665e-03,0.7913580246913571,8.463907e-04,11.386581362767002
34,68000,486451.289907812,42936799.362482324,4.111409e-03,0.7880658436213982,8.713479e-04,11.49925784880461
35,70000,480137.9191419792,43416937.2816243,4.165470e-03,0.7847736625514393,8.965188e-04,11.610052482518123
36,72000,474060.21899702,43890997.50062132,4.218873e-03,0.7814814814814804,9.219019e-04,11.719040038808592
37,74000,468204.030746443,44359201.531367764,4.271642e-03,0.7781893004115216,9.474959e-04,11.826290617258799
38,76000,462556.35346864833,44821757.88483641,4.323797e-03,0.7748971193415627,9.732993e-04,11.93187003703097
39,78000,457105.2253647786,45278863.110201195,4.375360e-03,0.7716049382716038,9.993107e-04,12.03584019010706
