Unit (n),ETH Input (Cumulative),Issued Tokens,Cumulative Supply,Buy Price (ETH),Spread,Sell Price (ETH),Weight
0,0,0.0,0.0,1.000000e-04,,nan,
1,1000,10000000.0,10000000.0,1.000000e-04,0.8983967935871744,1.016032e-05,0.0
2,2000,1303180.2403821147,11303180.240382114,7.673536e-04,0.8967935871743488,7.919581e-05,3.097580843640558
3,3000,1134984.3923223172,12438164.632704431,8.810694e-04,0.8951903807615231,9.234455e-05,3.4803484778897067
4,4000,1017520.885010639,13455685.51771507,9.827808e-04,0.8935871743486975,1.045805e-04,3.8100801971509117
5,5000,929484.8311977703,14385170.34891284,1.075865e-03,0.8919839679358719,1.162106e-04,4.102869508599239
6,6000,860342.8444539655,15245513.193366807,1.162327e-03,0.8903807615230462,1.274134e-04,4.3680407789765425
7,7000,804192.587110621,16049705.780477429,1.243483e-03,0.8887775551102206,1.383032e-04,4.611573331747034
8,8000,757430.5197084083,16807136.300185837,1.320253e-03,0.887174348697395,1.489584e-04,4.8375733720190635
9,9000,717713.8046567115,17524850.104842547,1.393313e-03,0.8855711422845693,1.594352e-04,5.049004382503107
10,10000,683443.9394223972,18208294.044264946,1.463178e-03,0.8839679358717437,1.697755e-04,5.248087503398686
11,11000,653487.699415149,18861781.743680093,1.530251e-03,0.8823647294589181,1.800115e-04,5.436537798294406
12,12000,627016.2679615712,19488798.011641666,1.594855e-03,0.8807615230460925,1.901681e-04,5.615711858563658
13,13000,603407.5602854566,20092205.571927123,1.657255e-03,0.8791583166332668,2.002654e-04,5.786704316289181
14,14000,582184.3314788995,20674389.903406024,1.717669e-03,0.8775551102204412,2.103198e-04,5.9504133489909385
15,15000,562973.5305486784,21237363.4339547,1.776282e-03,0.8759519038076156,2.203445e-04,6.107586544985716
16,16000,545478.781964775,21782842.215919476,1.833252e-03,0.8743486973947899,2.303505e-04,6.2588538771495354
17,17000,529461.2593269985,22312303.475246474,1.888712e-03,0.8727454909819643,2.403472e-04,6.4047519528979056
18,18000,514726.08421142097,22827029.559457894,1.942781e-03,0.8711422845691387,2.503423e-04,6.545742203777077
19,19000,501112.4574612807,23328142.016919173,1.995560e-03,0.869539078156313,2.603426e-04,6.6822247675054545
20,20000,488486.36971509573,23816628.386634268,2.047140e-03,0.8679358717434874,2.703538e-04,6.814549246097999
21,21000,476735.1305624118,24293363.51719668,2.097601e-03,0.8663326653306618,2.803807e-04,6.943023157672091
22,22000,465763.20336013386,24759126.720556814,2.147014e-03,0.8647294589178361,2.904277e-04,7.067918658191254
23,23000,455488.9927792121,25214615.71333603,2.195443e-03,0.8631262525050105,3.004985e-04,7.189477946692989
24,24000,445842.33784744743,25660458.051183477,2.242945e-03,0.8615230460921849,3.105962e-04,7.307917655637885
25,25000,436762.5344455295,26097220.585629005,2.289574e-03,0.8599198396793593,3.207238e-04,7.423432449649877
26,26000,428196.7600269434,26525417.345655948,2.335375e-03,0.8583166332665336,3.308838e-04,7.536198000135672
27,27000,420098.8073510781,26945516.153007027,2.380392e-03,0.856713426853708,3.410783e-04,7.646373462970905
28,28000,412428.05808276957,27357944.211089797,2.424665e-03,0.8551102204408824,3.513092e-04,7.754103556926194
29,29000,405148.644368518,27763092.855458315,2.468230e-03,0.8535070140280567,3.615784e-04,7.859520318619155
30,30000,398228.7590326358,28161321.614490952,2.511119e-03,0.8519038076152311,3.718872e-04,7.962744593359538
31,31000,391640.0842459573,28552961.69873691,2.553365e-03,0.8503006012024055,3.822372e-04,8.063887308805867
32,32000,385357.3153608158,28938319.014097724,2.594994e-03,0.8486973947895798,3.926294e-04,8.163050568819465
33,33000,379357.7617395009,29317676.775837224,2.636034e-03,0.8470941883767542,4.030649e-04,8.260328597534981
34,34000,373621.01029211754,29691297.78612934,2.676509e-03,0.8454909819639286,4.135448e-04,8.355808557924492
35,35000,368128.64041168726,30059426.426541027,2.716442e-03,0.843887775551103,4.240698e-04,8.449571264620316
36,36000,362863.9812844885,30422290.407825515,2.755854e-03,0.8422845691382773,4.346406e-04,8.541691807189954
37,37000,357811.90433223336,30780102.312157746,2.794764e-03,0.8406813627254517,4.452581e-04,8.632240097208745
38,38000,352958.6449341441,31133060.95709189,2.833193e-03,0.8390781563126261,4.559227e-04,8.721281350190324
39,39000,348291.64867315226,31481352.60576504,2.871157e-03,0.8374749498998004,4.666349e-04,8.808876511589082
40,40000,343799.4382196172,31825152.04398466,2.908673e-03,0.8358717434869748,4.773954e-04,8.895082634589297
41,41000,339471.4976594343,32164623.541644093,2.945755e-03,0.8342685370741492,4.882044e-04,8.979953216170447
